latitude,longitude,altitude,x,y,land
31.711089,35.471224,-412.000000,-98.510865,-5.527814,-1
31.711094,35.481941,-415.000000,-98.510370,-4.522757,-1
31.711097,35.492658,-415.000000,-98.509973,-3.517700,-1
31.711100,35.503375,-415.000000,-98.509676,-2.512643,-1
31.711102,35.514093,-415.000000,-98.509478,-1.507586,-1
31.711103,35.524810,-415.000000,-98.509379,-0.502529,-1
31.711103,35.535527,-415.000000,-98.509379,0.502529,-1
31.711102,35.546244,-415.000000,-98.509478,1.507586,-1
31.711100,35.556961,-415.000000,-98.509676,2.512643,-1
31.711097,35.567679,-415.000000,-98.509973,3.517700,-1
31.711094,35.578396,-415.000000,-98.510370,4.522757,-1
31.711089,35.589113,-376.818970,-98.510865,5.527814,-1
31.711084,35.599830,-130.366745,-98.511460,6.532871,-1
31.711078,35.610547,-91.700806,-98.512154,7.537928,-1
31.711070,35.621265,-34.507774,-98.512947,8.542984,-1
31.711062,35.631982,129.810120,-98.513839,9.548040,-1
31.711053,35.642699,166.892059,-98.514830,10.553097,-1
31.711043,35.653416,237.221054,-98.515920,11.558153,-1
31.711033,35.664133,277.126099,-98.517110,12.563208,-1
31.711021,35.674851,316.392853,-98.518398,13.568264,-1
31.711009,35.685568,395.429047,-98.519786,14.573319,-1
31.710995,35.696285,482.018311,-98.521273,15.578374,-1
31.710981,35.707002,596.173767,-98.522859,16.583429,-1
31.710965,35.717719,685.342651,-98.524544,17.588483,-1
31.710949,35.728437,741.547424,-98.526328,18.593537,-1
31.710932,35.739154,846.018005,-98.528211,19.598591,-1
31.710914,35.749871,825.825317,-98.530194,20.603644,-1
31.710896,35.760588,815.797180,-98.532275,21.608697,-1
31.710876,35.771305,807.815674,-98.534456,22.613750,-1
31.710855,35.782022,797.763550,-98.536736,23.618802,-1
31.710834,35.792740,758.396851,-98.539114,24.623853,-1
31.710811,35.803457,750.899658,-98.541592,25.628905,-1
31.710788,35.814174,744.077759,-98.544169,26.633955,-1
31.710764,35.824891,749.867004,-98.546846,27.639005,-1
31.710739,35.835608,768.659302,-98.549621,28.644055,-1
31.710713,35.846325,787.067444,-98.552496,29.649104,-1
31.710686,35.857042,778.991516,-98.555469,30.654152,-1
31.710658,35.867760,760.462708,-98.558542,31.659200,-1
31.710629,35.878477,742.865051,-98.561714,32.664247,-1
31.710600,35.889194,743.774536,-98.564985,33.669294,-1
31.710569,35.899911,735.797974,-98.568355,34.674340,-1
31.710538,35.910628,729.526062,-98.571824,35.679385,-1
31.710506,35.921345,732.628113,-98.575392,36.684430,-1
31.710472,35.932062,714.202820,-98.579059,37.689474,-1
31.710438,35.942779,701.522827,-98.582826,38.694517,-1
31.710403,35.953496,706.216370,-98.586691,39.699559,-1
31.710368,35.964213,713.340881,-98.590656,40.704601,-1
31.710331,35.974930,716.648438,-98.594720,41.709642,-1
31.710293,35.985647,713.396545,-98.598883,42.714682,-1
31.710255,35.996364,709.297241,-98.603145,43.719721,-1
31.710215,36.007081,711.892273,-98.607506,44.724759,-1
31.710175,36.017798,712.493164,-98.611967,45.729797,-1
31.710134,36.028515,713.191650,-98.616526,46.734833,-1
31.710092,36.039232,712.861389,-98.621185,47.739869,-1
31.710048,36.049949,719.682007,-98.625942,48.744904,-1
31.710005,36.060666,728.096497,-98.630799,49.749938,-1
31.709960,36.071383,737.095154,-98.635755,50.754971,-1
31.709914,36.082100,750.650574,-98.640810,51.760003,-1
31.709867,36.092817,767.528625,-98.645964,52.765034,-1
31.709820,36.103534,778.662964,-98.651217,53.770063,-1
31.709771,36.114251,817.907104,-98.656570,54.775092,-1
31.709722,36.124968,883.500610,-98.662021,55.780120,-1
31.709672,36.135685,852.196960,-98.667572,56.785147,-1
31.709621,36.146402,858.964966,-98.673221,57.790172,-1
31.709569,36.157118,863.014099,-98.678970,58.795197,-1
31.709516,36.167835,828.701965,-98.684818,59.800220,-1
31.709462,36.178552,826.453735,-98.690765,60.805243,-1
31.709408,36.189269,831.623962,-98.696811,61.810264,-1
31.709352,36.199986,816.024048,-98.702956,62.815283,-1
31.709296,36.210703,822.668213,-98.709201,63.820302,-1
31.709238,36.221419,845.251892,-98.715544,64.825319,-1
31.709180,36.232136,838.319580,-98.721987,65.830336,-1
31.709121,36.242853,832.703247,-98.728528,66.835350,-1
31.709061,36.253570,797.378357,-98.735169,67.840364,-1
31.709000,36.264286,802.509644,-98.741909,68.845376,-1
31.708938,36.275003,799.257202,-98.748748,69.850387,-1
31.708875,36.285720,795.615112,-98.755686,70.855397,-1
31.708811,36.296437,780.088745,-98.762723,71.860405,-1
31.708747,36.307153,775.422546,-98.769859,72.865412,-1
31.708681,36.317870,766.921631,-98.777095,73.870417,-1
31.708615,36.328587,746.823425,-98.784429,74.875421,-1
31.708548,36.339303,736.109192,-98.791863,75.880424,-1
31.708480,36.350020,728.988708,-98.799396,76.885425,-1
31.708411,36.360736,716.148438,-98.807027,77.890424,-1
31.708341,36.371453,705.497864,-98.814758,78.895423,-1
31.708270,36.382169,699.172058,-98.822588,79.900419,-1
31.708198,36.392886,689.711975,-98.830518,80.905414,-1
31.708126,36.403603,683.955078,-98.838546,81.910408,-1
31.708052,36.414319,675.981689,-98.846673,82.915399,-1
31.707978,36.425036,666.385254,-98.854900,83.920390,-1
31.707903,36.435752,658.882141,-98.863225,84.925378,-1
31.707826,36.446469,650.589172,-98.871650,85.930365,-1
31.707749,36.457185,642.763916,-98.880173,86.935351,-1
31.707671,36.467901,636.495972,-98.888796,87.940334,-1
31.707592,36.478618,628.576477,-98.897518,88.945316,-1
31.707513,36.489334,624.444641,-98.906339,89.950296,-1
31.707432,36.500051,618.474243,-98.915259,90.955275,-1
31.707350,36.510767,613.723572,-98.924279,91.960252,-1
31.707268,36.521483,609.395386,-98.933397,92.965227,-1
31.707185,36.532200,605.093994,-98.942614,93.970200,-1
31.707100,36.542916,614.841003,-98.951931,94.975171,-1
31.707015,36.553632,607.517090,-98.961347,95.980141,-1
31.706929,36.564348,597.432617,-98.970861,96.985108,-1
31.706842,36.575065,588.068542,-98.980475,97.990074,-1
31.706754,36.585781,584.806030,-98.990188,98.995038,-1
31.706666,36.596497,579.599121,-99.000000,100.000000,-1
31.715709,34.463840,-42.098896,-98.000000,-100.000000,-1
31.715798,34.474556,-40.197247,-97.990186,-98.995038,-1
31.715886,34.485272,-39.000000,-97.980472,-97.990074,-1
31.715973,34.495988,-38.656555,-97.970857,-96.985108,-1
31.716059,34.506705,-36.228733,-97.961340,-95.980141,-1
31.716144,34.517421,-33.591282,-97.951923,-94.975171,-1
31.716228,34.528137,-32.706280,-97.942605,-93.970200,-1
31.716312,34.538854,-27.710754,-97.933386,-92.965227,-1
31.716394,34.549570,-16.280418,-97.924267,-91.960252,-1
31.716476,34.560286,-6.491875,-97.915246,-90.955275,-1
31.716556,34.571003,-0.418042,-97.906325,-89.950297,-1
31.716636,34.581719,5.583293,-97.897502,-88.945317,-1
31.716715,34.592435,32.006359,-97.888779,-87.940335,-1
31.716793,34.603152,21.819201,-97.880155,-86.935351,-1
31.716870,34.613868,20.591610,-97.871629,-85.930366,-1
31.716946,34.624585,20.298040,-97.863204,-84.925379,-1
31.717022,34.635301,43.104458,-97.854877,-83.920390,-1
31.717096,34.646018,44.648205,-97.846649,-82.915400,-1
31.717170,34.656734,40.670948,-97.838520,-81.910408,-1
31.717242,34.667451,50.115921,-97.830491,-80.905415,-1
31.717314,34.678167,49.693798,-97.822560,-79.900420,-1
31.717385,34.688884,42.603439,-97.814729,-78.895423,-1
31.717455,34.699600,43.529808,-97.806997,-77.890425,-1
31.717524,34.710317,45.280411,-97.799364,-76.885425,-1
31.717592,34.721034,59.000000,-97.791830,-75.880424,-1
31.717659,34.731750,54.936985,-97.784395,-74.875422,-1
31.717726,34.742467,60.318726,-97.777060,-73.870418,-1
31.717791,34.753184,73.829842,-97.769823,-72.865412,-1
31.717856,34.763900,80.169022,-97.762686,-71.860406,-1
31.717919,34.774617,77.857018,-97.755647,-70.855397,-1
31.717982,34.785334,77.864067,-97.748708,-69.850388,-1
31.718044,34.796050,83.904343,-97.741868,-68.845377,-1
31.718105,34.806767,91.580963,-97.735127,-67.840365,-1
31.718165,34.817484,101.074448,-97.728485,-66.835351,-1
31.718224,34.828201,109.777184,-97.721943,-65.830336,-1
31.718282,34.838917,138.559952,-97.715499,-64.825320,-1
31.718340,34.849634,145.674713,-97.709155,-63.820303,-1
31.718396,34.860351,170.608963,-97.702909,-62.815284,-1
31.718452,34.871068,177.688461,-97.696763,-61.810264,-1
31.718506,34.881785,183.523193,-97.690716,-60.805243,-1
31.718560,34.892501,188.915894,-97.684768,-59.800221,-1
31.718613,34.903218,215.115387,-97.678919,-58.795198,-1
31.718665,34.913935,203.857559,-97.673170,-57.790173,-1
31.718716,34.924652,218.176483,-97.667519,-56.785147,-1
31.718766,34.935369,288.208893,-97.661968,-55.780121,-1
31.718816,34.946086,327.358826,-97.656515,-54.775093,-1
31.718864,34.956803,336.197937,-97.651162,-53.770064,-1
31.718912,34.967520,286.074768,-97.645908,-52.765034,-1
31.718958,34.978237,340.398651,-97.640753,-51.760003,-1
31.719004,34.988954,313.721649,-97.635697,-50.754971,-1
31.719049,34.999671,400.690704,-97.630741,-49.749938,-1
31.719093,35.010387,341.458862,-97.625883,-48.744905,-1
31.719136,35.021104,487.008575,-97.621125,-47.739870,-1
31.719178,35.031821,547.671570,-97.616466,-46.734834,-1
31.719219,35.042538,548.569336,-97.611905,-45.729797,-1
31.719259,35.053255,623.469421,-97.607444,-44.724760,-1
31.719299,35.063972,625.723938,-97.603082,-43.719722,-1
